mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
21.8,14,29.6,4,1.4,50.1,12.3,998.8,1010.3,1006.5,1008.6,12.6,26.86,1,26.3,0
20.3,17.3,24.7,4.1,1.7,47.4,11,1000.4,1011.6,1008.8,1010.3,4.7,17.12,7.3,23.6,0
22.3,16.2,29.1,4.3,1.6,49.8,13.2,999.9,1011,1007.9,1009.7,12.5,26.49,3.8,27.9,0
21.4,19.1,25.9,4.4,1.8,69.3,17.5,1001.2,1012.3,1009.6,1011,3.4,13.34,9.4,25.2,1
20.2,15.8,24.7,4.4,1.9,69.8,16.2,1000,1011.6,1008.1,1009.9,9.8,21.67,4.6,24.8,0
20.9,14.2,27.6,3.6,1.9,58.9,13.9,1001.4,1013.7,1009.5,1011.3,12.9,26.94,0.9,28.3,0
23.8,17.5,30.2,4.3,1.9,50.4,14.1,1004.7,1015.5,1013.2,1014.5,12.9,27.94,0,30.6,0
23.4,17.6,30.1,4.5,2,44.5,12,1005.1,1016.7,1013.3,1014.9,12.8,28.49,1.4,30.8,0
24,16.9,30.8,4.2,1.6,39.4,10.8,1003,1014.7,1010.9,1012.8,12.9,27.18,4,31,0
22.6,18.9,27.5,4.4,1.9,50.1,13.6,1002.6,1013.5,1010.8,1012.4,9.2,21.13,7.9,27.4,0
23.7,17.7,29.2,4,1.7,52.5,14.7,1001.6,1013,1009.6,1011.4,11.4,24.35,1.4,30.7,0
23,18.4,27.9,4,2,62.9,17.4,1002.1,1013.4,1010.3,1011.9,12.7,26.6,1,30.9,0
22.2,17.8,29.4,4.1,2,69.3,17.9,1001.7,1014,1009,1011.6,9.4,24.04,4.5,30,0
21.9,18.5,27,3.7,2.1,68,17.5,998.8,1010.8,1006.3,1008.7,7.1,18.52,5.5,31.1,0
